response	cluster	gene	group1	group2	n_group1	n_group2	p_val	auc	avg_log2FC	pct.1	pct.2	p_val_adj	pct.diff	n
responders	Trm_merge	RAB27A	responders_Pre	responders_Post	2112	459	3.5393291844566914e-12	0.5996226563015778	0.4661238501627545	0.608	0.475	1.2296691385557884e-7	0.133	1
responders	Trm_merge	GMFG	responders_Pre	responders_Post	2112	459	4.200678637936515e-12	0.6028823776985541	0.36420423087551335	0.857	0.83	1.4594417791782836e-7	0.02700000000000002	1
responders	Trm_merge	ZCRB1	responders_Pre	responders_Post	2112	459	4.894733711285823e-12	0.5923888600052816	0.5017007379969077	0.453	0.292	1.7005773333120337e-7	0.16100000000000003	1
responders	Trm_merge	SLA	responders_Pre	responders_Post	2112	459	5.129338596155568e-12	0.6008930192447349	0.4257763108118149	0.699	0.58	1.782086108462329e-7	0.119	1
responders	Trm_merge	IL7R	responders_Pre	responders_Post	2112	459	6.602154874863923e-12	0.6019875016504919	0.5721979225712399	0.87	0.885	2.293786668173973e-7	-0.01500000000000001	1
responders	Trm_merge	CBLB	responders_Pre	responders_Post	2112	459	7.033212444479385e-12	0.5949264912193833	0.4617201663625584	0.518	0.355	2.4435489995854724e-7	0.16300000000000003	1
responders	Trm_merge	HLA-A	responders_Pre	responders_Post	2112	459	8.013262264106101e-12	0.6016816448801743	0.21802093906039224	0.997	1	2.7840477084183825e-7	-0.003	1
responders	Trm_merge	MYH9	responders_Pre	responders_Post	2112	459	1.0349857095623898e-11	0.5995112481019343	0.4785368849399634	0.702	0.597	3.5958508507326106e-7	0.10499999999999998	1
responders	Trm_merge	DDX3X	responders_Pre	responders_Post	2112	459	1.4889568985933037e-11	0.599690739090249	0.3843702335363075	0.782	0.68	5.173082952782715e-7	0.10199999999999998	1
responders	Trm_merge	CELF2	responders_Pre	responders_Post	2112	459	1.6992319937233253e-11	0.594612381989833	0.552943888033536	0.55	0.42	5.903641715792949e-7	0.13000000000000006	1
responders	Trm_merge	IKZF1	responders_Pre	responders_Post	2112	459	1.774666394747939e-11	0.5994751435927906	0.40086435638967544	0.799	0.721	6.165723455272764e-7	0.07800000000000007	1
responders	Trm_merge	FUCA1	responders_Pre	responders_Post	2112	459	1.9881204029675014e-11	0.5592278999141744	0.4689788619871154	0.156	0.039	6.907326716029991e-7	0.117	1
responders	Trm_merge	TNFAIP3	responders_Pre	responders_Post	2112	459	2.091095660495043e-11	0.597472374892718	0.4433974848357569	0.677	0.532	7.265093653257927e-7	0.14500000000000002	1
responders	Trm_merge	HLA-DPA1	responders_Pre	responders_Post	2112	459	2.3522929323160716e-11	0.5888170924935631	0.5215270376507282	0.442	0.285	8.172571334745728e-7	0.15700000000000003	1
responders	Trm_merge	MT-CO2	responders_Pre	responders_Post	2112	459	2.588316171493914e-11	0.5991532976827094	0.25669128701514765	0.999	1	8.992586874621305e-7	-0.001	1
responders	Trm_merge	PPFIBP1	responders_Pre	responders_Post	2112	459	2.982966427154586e-11	0.5540391661715192	0.3841424294301864	0.131	0.024	1.0363720257863178e-6	0.107	1
