gene	distance	count	nCount_Spatial	cpm
SERPINB3	6	374	625463	597.9570334296353
SERPINB3	7	377	776226	485.68329326768236
SERPINB3	8	136	586713	231.799874896244
SERPINB3	9	63	225972	278.79560299506136
SERPINB3	10	106	231868	457.1566580985733
SLC6A14	1	746	2360927	315.97757999294345
SLC6A14	2	657	2187821	300.29879044035135
SLC6A14	3	264	1586463	166.40791496555545
SLC6A14	4	61	897835	67.94121414291044
SLC6A14	5	84	629984	133.3367196627216
SLC6A14	6	95	625463	151.887481753517
SLC6A14	7	92	776226	118.52218297248483
SLC6A14	8	46	586713	78.40289886196489
SLC6A14	9	8	225972	35.40261625334112
SLC6A14	10	18	231868	77.63037590353133
SPRR2A	1	23151	2360927	9805.894040772968
SPRR2A	2	19144	2187821	8750.258819162993
SPRR2A	3	9380	1586463	5912.523645367084
SPRR2A	4	3330	897835	3708.922017965439
SPRR2A	5	3721	629984	5906.499212678417
SPRR2A	6	3598	625463	5752.538519464781
SPRR2A	7	3720	776226	4792.418702800473
SPRR2A	8	1394	586713	2375.948717686501
SPRR2A	9	457	225972	2022.3744534721113
SPRR2A	10	852	231868	3674.504459433816
SPRR2B	1	2369	2360927	1003.4194195754465
SPRR2B	2	2012	2187821	919.6364784870426
SPRR2B	3	928	1586463	584.9490344243767
SPRR2B	4	384	897835	427.6955119816002
SPRR2B	5	569	629984	903.1975415248642
SPRR2B	6	443	625463	708.2753096506108
SPRR2B	7	566	776226	729.169082200287
SPRR2B	8	212	586713	361.33509910296857
SPRR2B	9	87	225972	385.0034517550847
SPRR2B	10	131	231868	564.9766246312557
SPRR2D	1	18188	2360927	7703.75365269659
SPRR2D	2	14877	2187821	6799.9164465465865
SPRR2D	3	6826	1586463	4302.653134677582
SPRR2D	4	2248	897835	2503.800809725618
SPRR2D	5	2677	629984	4249.314268298877
SPRR2D	6	2564	625463	4099.363191747553
SPRR2D	7	2780	776226	3581.431181125085
SPRR2D	8	1163	586713	1982.2298125318512
