gene,patient,treatment,cpm,log10cpm
ADGRG3,P1,Pre,2.737,0.573
ADGRG3,P1,Mid,0,0
ADGRG3,P2,Pre,0.282,0.108
ADGRG3,P2,Mid,0,0
ADGRG3,P3,Pre,0.249,0.097
ADGRG3,P3,Mid,0,0
ADGRG3,P4,Pre,0.364,0.135
ADGRG3,P4,Mid,0,0
ADGRG3,P5,Pre,0,0
ADGRG3,P5,Mid,0,0
ADGRG3,P6,Pre,0,0
ADGRG3,P6,Mid,0,0
ADGRG3,P7,Pre,0,0
ADGRG3,P7,Mid,0,0
ADGRG3,P8,Pre,0.249,0.097
ADGRG3,P8,Mid,0,0
ADGRG3,P9,Pre,0,0
ADGRG3,P9,Mid,0.32,0.12
AGPAT5,P1,Pre,52.396,1.728
AGPAT5,P1,Mid,20,1.322
AGPAT5,P2,Pre,75.656,1.885
AGPAT5,P2,Mid,33.007,1.532
AGPAT5,P3,Pre,40.89,1.622
AGPAT5,P3,Mid,16.677,1.247
AGPAT5,P4,Pre,37.338,1.584
AGPAT5,P4,Mid,19.676,1.315
AGPAT5,P5,Pre,28.537,1.47
AGPAT5,P5,Mid,17.014,1.256
AGPAT5,P6,Pre,28.271,1.466
AGPAT5,P6,Mid,21.693,1.356
AGPAT5,P7,Pre,21.875,1.359
AGPAT5,P7,Mid,18.206,1.283
AGPAT5,P8,Pre,82.166,1.92
AGPAT5,P8,Mid,65.881,1.825
AGPAT5,P9,Pre,40.274,1.616
AGPAT5,P9,Mid,61.059,1.793
AHCYL2,P1,Pre,5.865,0.837
AHCYL2,P1,Mid,6.667,0.885
AHCYL2,P2,Pre,14.679,1.195
AHCYL2,P2,Mid,10.315,1.054
AHCYL2,P3,Pre,10.222,1.05
AHCYL2,P3,Mid,9.728,1.031
AHCYL2,P4,Pre,7.468,0.928
AHCYL2,P4,Mid,8.944,0.998
AHCYL2,P5,Pre,5.376,0.805
AHCYL2,P5,Mid,5.004,0.778
AHCYL2,P6,Pre,15.338,1.213
AHCYL2,P6,Mid,7.018,0.904
AHCYL2,P7,Pre,8.993,1
AHCYL2,P7,Mid,6.536,0.877
AHCYL2,P8,Pre,7.968,0.953
AHCYL2,P8,Mid,13.667,1.166
AHCYL2,P9,Pre,10.74,1.07
AHCYL2,P9,Mid,18.222,1.284
AHI1,P1,Pre,255.724,2.409
AHI1,P1,Mid,93.331,1.975
AHI1,P2,Pre,161.756,2.212
AHI1,P2,Mid,132.029,2.124
AHI1,P3,Pre,711.334,2.853
AHI1,P3,Mid,180.668,2.259
AHI1,P4,Pre,186.326,2.273
AHI1,P4,Mid,209.279,2.323
AHI1,P5,Pre,319.694,2.506
AHI1,P5,Mid,98.078,1.996
AHI1,P6,Pre,361.803,2.56
AHI1,P6,Mid,59.974,1.785
AHI1,P7,Pre,319.773,2.506
AHI1,P7,Mid,201.436,2.306
AHI1,P8,Pre,257.951,2.413
AHI1,P8,Mid,213.236,2.331
AHI1,P9,Pre,522.034,2.719
AHI1,P9,Mid,651.505,2.815
AIF1,P1,Pre,0.782,0.251
AIF1,P1,Mid,0,0
AIF1,P2,Pre,1.129,0.328
AIF1,P2,Mid,0,0
AIF1,P3,Pre,2.992,0.601
AIF1,P3,Mid,0,0
AIF1,P4,Pre,0.546,0.189
AIF1,P4,Mid,0,0
AIF1,P5,Pre,2.481,0.542
AIF1,P5,Mid,1.001,0.301
AIF1,P6,Pre,0,0
AIF1,P6,Mid,0,0
AIF1,P7,Pre,0.729,0.238
AIF1,P7,Mid,0.233,0.091
AIF1,P8,Pre,1.992,0.476
AIF1,P8,Mid,1.227,0.348
AIF1,P9,Pre,8.822,0.992
AIF1,P9,Mid,2.877,0.589
AKAP12,P1,Pre,4.692,0.755
AKAP12,P1,Mid,0,0
AKAP12,P2,Pre,0.847,0.266
AKAP12,P2,Mid,0,0
AKAP12,P3,Pre,0,0
AKAP12,P3,Mid,2.78,0.577
AKAP12,P4,Pre,0,0
AKAP12,P4,Mid,0.894,0.277
AKAP12,P5,Pre,0.414,0.15
AKAP12,P5,Mid,2.002,0.477
AKAP12,P6,Pre,0.602,0.205
AKAP12,P6,Mid,0,0
AKAP12,P7,Pre,0.648,0.217
AKAP12,P7,Mid,0.7,0.231
AKAP12,P8,Pre,0,0
AKAP12,P8,Mid,0.526,0.183
AKAP12,P9,Pre,0.384,0.141
AKAP12,P9,Mid,0.639,0.215
AL031056.1,P1,Pre,2.737,0.573
AL031056.1,P1,Mid,0,0
AL031056.1,P2,Pre,17.22,1.261
AL031056.1,P2,Mid,4.126,0.71
AL031056.1,P3,Pre,5.236,0.795
AL031056.1,P3,Mid,1.39,0.378
AL031056.1,P4,Pre,4.736,0.759
AL031056.1,P4,Mid,0,0
AL031056.1,P5,Pre,0.827,0.262
AL031056.1,P5,Mid,0,0
AL031056.1,P6,Pre,9.323,1.014
AL031056.1,P6,Mid,1.276,0.357
AL031056.1,P7,Pre,1.701,0.432
AL031056.1,P7,Mid,1.4,0.38
AL031056.1,P8,Pre,6.474,0.874
AL031056.1,P8,Mid,5.432,0.808
AL031056.1,P9,Pre,3.836,0.684
AL031056.1,P9,Mid,3.516,0.655
AL078604.2,P1,Pre,0,0
AL078604.2,P1,Mid,0,0
AL078604.2,P2,Pre,0,0
AL078604.2,P2,Mid,0,0
AL078604.2,P3,Pre,0.249,0.097
AL078604.2,P3,Mid,1.39,0.378
AL078604.2,P4,Pre,0.546,0.189
AL078604.2,P4,Mid,0,0
AL078604.2,P5,Pre,0,0
AL078604.2,P5,Mid,0,0
AL078604.2,P6,Pre,0.902,0.279
AL078604.2,P6,Mid,0,0
AL078604.2,P7,Pre,0.162,0.065
AL078604.2,P7,Mid,0.233,0.091
AL078604.2,P8,Pre,0,0
AL078604.2,P8,Mid,0.35,0.13
AL078604.2,P9,Pre,0,0
AL078604.2,P9,Mid,0.639,0.215
AL096865.1,P1,Pre,45.749,1.67
AL096865.1,P1,Mid,6.667,0.885
AL096865.1,P2,Pre,26.818,1.444
AL096865.1,P2,Mid,18.567,1.292
AL096865.1,P3,Pre,27.426,1.454
AL096865.1,P3,Mid,5.559,0.817
AL096865.1,P4,Pre,23.131,1.383
AL096865.1,P4,Mid,12.521,1.131
AL096865.1,P5,Pre,13.234,1.153
AL096865.1,P5,Mid,15.012,1.204
AL096865.1,P6,Pre,21.353,1.349
AL096865.1,P6,Mid,8.294,0.968
AL096865.1,P7,Pre,13.935,1.174
AL096865.1,P7,Mid,12.604,1.134
AL096865.1,P8,Pre,44.32,1.656
AL096865.1,P8,Mid,25.757,1.427
AL096865.1,P9,Pre,23.781,1.394
AL096865.1,P9,Mid,27.492,1.455
AL136454.1,P1,Pre,2.737,0.573
AL136454.1,P1,Mid,6.667,0.885
AL136454.1,P2,Pre,23.995,1.398
AL136454.1,P2,Mid,4.126,0.71
AL136454.1,P3,Pre,6.732,0.888
AL136454.1,P3,Mid,4.169,0.713
AL136454.1,P4,Pre,16.392,1.24
AL136454.1,P4,Mid,3.577,0.661
AL136454.1,P5,Pre,129.036,2.114
AL136454.1,P5,Mid,4.003,0.699
AL136454.1,P6,Pre,2.406,0.532
AL136454.1,P6,Mid,12.123,1.118
AL136454.1,P7,Pre,2.025,0.481
AL136454.1,P7,Mid,1.867,0.457
AL136454.1,P8,Pre,36.103,1.569
AL136454.1,P8,Mid,36.445,1.573
AL136454.1,P9,Pre,24.932,1.414
AL136454.1,P9,Mid,22.058,1.363
AL353588.1,P1,Pre,0,0
AL353588.1,P1,Mid,2.222,0.508
AL353588.1,P2,Pre,0,0
AL353588.1,P2,Mid,0,0
AL353588.1,P3,Pre,0,0
AL353588.1,P3,Mid,0,0
AL353588.1,P4,Pre,0,0
AL353588.1,P4,Mid,0,0
AL353588.1,P5,Pre,0,0
AL353588.1,P5,Mid,0,0
AL353588.1,P6,Pre,0,0
AL353588.1,P6,Mid,0,0
AL353588.1,P7,Pre,0.081,0.034
AL353588.1,P7,Mid,0,0
AL353588.1,P8,Pre,0,0
AL353588.1,P8,Mid,0,0
AL353588.1,P9,Pre,0,0
AL353588.1,P9,Mid,0,0
AL357060.1,P1,Pre,171.264,2.236
AL357060.1,P1,Mid,42.221,1.636
AL357060.1,P2,Pre,127.598,2.109
AL357060.1,P2,Mid,76.329,1.888
AL357060.1,P3,Pre,55.102,1.749
AL357060.1,P3,Mid,41.693,1.63
AL357060.1,P4,Pre,47.538,1.686
AL357060.1,P4,Mid,30.408,1.497
AL357060.1,P5,Pre,43.839,1.652
AL357060.1,P5,Mid,103.082,2.017
AL357060.1,P6,Pre,53.834,1.739
AL357060.1,P6,Mid,15.951,1.229
AL357060.1,P7,Pre,41.4,1.627
AL357060.1,P7,Mid,33.845,1.542
AL357060.1,P8,Pre,45.814,1.67
AL357060.1,P8,Mid,52.915,1.732
AL357060.1,P9,Pre,63.672,1.811
AL357060.1,P9,Mid,84.395,1.931
AL390728.6,P1,Pre,25.025,1.415
AL390728.6,P1,Mid,6.667,0.885
AL390728.6,P2,Pre,11.01,1.08
AL390728.6,P2,Mid,11.346,1.092
AL390728.6,P3,Pre,11.968,1.113
AL390728.6,P3,Mid,2.78,0.577
AL390728.6,P4,Pre,7.103,0.909
AL390728.6,P4,Mid,5.366,0.804
AL390728.6,P5,Pre,12.407,1.127
AL390728.6,P5,Mid,3.002,0.602
AL390728.6,P6,Pre,17.143,1.259
AL390728.6,P6,Mid,2.552,0.55
AL390728.6,P7,Pre,7.859,0.947
AL390728.6,P7,Mid,9.803,1.034
AL390728.6,P8,Pre,7.221,0.915
AL390728.6,P8,Mid,6.658,0.884
AL390728.6,P9,Pre,9.206,1.009
AL390728.6,P9,Mid,5.435,0.809
AL441992.1,P1,Pre,10.557,1.063
AL441992.1,P1,Mid,2.222,0.508
AL441992.1,P2,Pre,23.995,1.398
AL441992.1,P2,Mid,8.252,0.966
AL441992.1,P3,Pre,32.662,1.527
AL441992.1,P3,Mid,20.846,1.339
AL441992.1,P4,Pre,28.413,1.469
AL441992.1,P4,Mid,11.627,1.101
