p_val,auc,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
2.6543511871815087e-28,0.44677189228398584,-0.5582808520005942,0.546,0.492,8.902163011569344e-24,DC,IL2RG
2.703742021993454e-28,0.46953006135585706,-0.29978977255263706,0.05,0.107,9.067809993361647e-24,DC,TSEN54
3.285309822376159e-28,0.46431568441207893,-0.3864818253531289,0.094,0.154,1.1018272082285161e-23,DC,NAXE
3.4946716311863103e-28,0.4512422955771747,-0.5034063012272398,0.343,0.356,1.1720429716672647e-23,DC,OCIAD1
4.800930617441099e-28,0.4637009321381113,-0.39628600382780665,0.101,0.162,1.6101361104773958e-23,DC,UQCC2
6.513078820971924e-28,0.46840958171787545,-0.3191485571454953,0.06,0.118,2.1843563749775638e-23,DC,ARHGEF6
6.93176681174143e-28,0.4703860014005125,-0.25000122310199974,0.046,0.102,2.3247759533218407e-23,DC,SFXN3
7.843817033284923e-28,0.4472193539906027,-0.483269895356934,0.558,0.492,2.6306593566230973e-23,DC,RTRAF
1.3038709313334095e-27,0.4658220077822498,-0.3154563202695875,0.082,0.143,4.3729223295059887e-23,DC,DKC1
1.4394899252769217e-27,0.451068600791117,-0.5349118863152682,0.37,0.375,4.82776131139374e-23,DC,MIER1
1.439664518050701e-27,0.4652337815871948,-0.3158732611689578,0.089,0.149,4.8283468606384407e-23,DC,NSL1
1.769301855458338e-27,0.4573900083146415,-0.47727246061695194,0.196,0.249,5.933884562836174e-23,DC,CCDC186
1.979817766600017e-27,0.4581003503668673,-0.45301047363558394,0.184,0.239,6.639912825623137e-23,DC,LPIN2
2.237806762548176e-27,0.4688558099309855,-0.2976218664822784,0.059,0.117,7.505156320234072e-23,DC,CNST
3.1358667841584836e-27,0.46462450841180397,-0.29370863326657626,0.095,0.158,1.0517070020710723e-22,DC,ELOF1
3.766481666904375e-27,0.46034194230562914,-0.36917669172931744,0.149,0.21,1.2632026214463894e-22,DC,MPC1
4.3856357797462894e-27,0.4639344981126306,-0.37642782723960966,0.108,0.166,1.4708545278113106e-22,DC,CCDC28A
5.027136935110424e-27,0.470175073016101,-0.2713880523778281,0.052,0.108,1.686001185297334e-22,DC,IL17RA
5.5717248079993404e-27,0.46839792221997795,-0.3123122073376835,0.066,0.123,1.8686450661068188e-22,DC,MTR
5.810681519809586e-27,0.4586036614762619,-0.44675645277763115,0.183,0.237,1.948786368113739e-22,DC,LARS
7.036638234198751e-27,0.46642861999382557,-0.289301859997312,0.083,0.142,2.3599477309855773e-22,DC,AKR7A2
7.158952589303328e-27,0.4531782974576555,-0.4716502141872433,0.308,0.339,2.40096951940055e-22,DC,FKBP1A
7.288190644324281e-27,0.45446474663123226,-0.5047169632295396,0.281,0.311,2.4443133782934777e-22,DC,RPL7L1
9.829770067348502e-27,0.468238748835704,-0.33975276003299915,0.068,0.126,3.2967082851873406e-22,DC,LEO1
1.0548029432608945e-26,0.4637672622566853,-0.3000517143274825,0.109,0.171,3.537598111108388e-22,DC,TTF1
1.0609292026226339e-26,0.45760802431295283,-0.5234377821090939,0.212,0.256,3.5581443597557894e-22,DC,TSTD1
1.3580076837299596e-26,0.46998218745848463,-0.26603382639713846,0.054,0.111,4.554486169693538e-22,DC,NPC1
1.7661865463986838e-26,0.5226779830411553,0.6508482898883597,0.103,0.059,5.923436439311905e-22,DC,IER5L
