CellType	gene_name	log2FoldChange_il23	log2FoldChange_il17	padj_il23	padj_il17	significant_il23	significant_il17	radar_gene	pv50_gene
Teff	SRSF10	-0.106	-0.317	0.81	0.745	FALSE	FALSE	FALSE	FALSE
Teff	IFNLR1	-0.19	-0.544	0.964	0.801	FALSE	FALSE	FALSE	FALSE
Teff	STPG1	0.033	-1.04	0.996	0.528	FALSE	FALSE	FALSE	FALSE
Teff	NIPAL3	-0.211	-0.166	0.74	0.889	FALSE	FALSE	FALSE	FALSE
Teff	RCAN3	0.252	0.289	0.671	0.783	FALSE	FALSE	FALSE	FALSE
Teff	SRRM1	0.19	0.107	0.497	0.911	FALSE	FALSE	FALSE	FALSE
Teff	RUNX3	0.148	0.677	0.914	0.462	FALSE	FALSE	FALSE	FALSE
Teff	SYF2	0.077	0.16	0.933	0.881	FALSE	FALSE	FALSE	FALSE
Teff	RSRP1	-0.219	0.607	0.802	0.552	FALSE	FALSE	FALSE	FALSE
Teff	TMEM50A	-0.051	0.692	0.976	0.54	FALSE	FALSE	FALSE	FALSE
Teff	LDLRAP1	-0.036	0.662	0.99	0.689	FALSE	FALSE	FALSE	FALSE
Teff	MAN1C1	-0.323	0.405	0.741	0.829	FALSE	FALSE	FALSE	FALSE
Teff	MTFR1L	-0.15	-0.052	0.925	0.974	FALSE	FALSE	FALSE	FALSE
Teff	STMN1	0.155	0.264	0.904	0.836	FALSE	FALSE	FALSE	FALSE
Teff	PAFAH2	-0.196	0.373	0.918	0.827	FALSE	FALSE	FALSE	FALSE
Teff	PDIK1L	0.11	-0.742	0.933	0.664	FALSE	FALSE	FALSE	FALSE
Teff	CEP85	0.535	-0.573	0.616	0.643	FALSE	FALSE	FALSE	FALSE
Teff	SH3BGRL3	0.223	0.825	0.73	0.514	FALSE	FALSE	FALSE	FALSE
Teff	UBXN11	0.061	1.174	0.986	0.343	FALSE	FALSE	FALSE	FALSE
Teff	CD52	0.36	1.259	0.731	0.207	FALSE	FALSE	FALSE	FALSE
Teff	DHDDS	0.024	-0.328	0.991	0.814	FALSE	FALSE	FALSE	FALSE
Teff	HMGN2	0.789	0.648	0.023	0.479	TRUE	FALSE	FALSE	FALSE
Teff	RPS6KA1	-0.195	1.683	0.859	0.197	FALSE	FALSE	FALSE	FALSE
Teff	ARID1A	0.071	-0.432	0.936	0.67	FALSE	FALSE	FALSE	FALSE
Teff	PIGV	0.579	1.181	0.704	0.472	FALSE	FALSE	FALSE	FALSE
Teff	ZDHHC18	-0.181	0.235	0.867	0.894	FALSE	FALSE	FALSE	FALSE
Teff	GPN2	0.046	0.673	0.976	0.609	FALSE	FALSE	FALSE	FALSE
Teff	GPATCH3	-0.057	2.109	0.984	0.126	FALSE	FALSE	FALSE	FALSE
Teff	NUDC	0.238	1.205	0.445	0.317	FALSE	FALSE	FALSE	FALSE
Teff	SLC9A1	-0.388	-0.58	0.735	0.783	FALSE	FALSE	FALSE	FALSE
Teff	WDTC1	-0.183	-2.5	0.795	0.114	FALSE	FALSE	FALSE	FALSE
Teff	TMEM222	0.168	1.265	0.855	0.364	FALSE	FALSE	FALSE	FALSE
Teff	SYTL1	-0.331	0.566	0.767	0.743	FALSE	FALSE	FALSE	FALSE
Teff	MAP3K6	-0.149	0.095	0.963	0.96	FALSE	FALSE	FALSE	FALSE
Teff	WASF2	-0.354	0.285	0.424	0.816	FALSE	FALSE	FALSE	FALSE
Teff	AHDC1	-0.509	-1.15	0.549	0.584	FALSE	FALSE	FALSE	FALSE
Teff	IFI6	1.566	1.148	0.316	0.436	FALSE	FALSE	FALSE	FALSE
Teff	FAM76A	-0.283	-0.672	0.738	0.583	FALSE	FALSE	FALSE	FALSE
Teff	STX12	-0.111	0.693	0.893	0.524	FALSE	FALSE	FALSE	FALSE
Teff	PPP1R8	0.025	-1.251	0.987	0.28	FALSE	FALSE	FALSE	FALSE
Teff	THEMIS2	-0.403	1.33	0.712	0.404	FALSE	FALSE	FALSE	FALSE
Teff	RPA2	0.28	1.344	0.598	0.213	FALSE	FALSE	FALSE	FALSE
